"Rank","WSIT","Running Backs","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","12","1","1","1.0","0.0","1.0","0.0"
"2","","Melvin Gordon","LAC","8","2","2","2.0","0.0","9.0","+7.0"
"3","","Saquon Barkley","NYG","9","3","4","3.5","0.5","6.0","+3.0"
"4","","Alvin Kamara","NO","6","3","5","4.0","1.0","5.0","+1.0"
"5","","Ezekiel Elliott","DAL","8","4","5","4.5","0.5","4.0","-1.0"
"6","","Christian McCaffrey","CAR","4","6","9","7.5","1.5","11.0","+5.0"
"7","","Joe Mixon","CIN","9","7","9","8.0","1.0","14.0","+7.0"
"8","","Kareem Hunt","KC","12","8","8","8.0","0.0","8.0","0.0"
"9","","Mark Ingram","NO","6","7","11","9.0","2.0","22.0","+13.0"
"10","","David Johnson","ARI","9","10","11","10.5","0.5","3.0","-7.0"
"11","","Jordan Howard","CHI","5","10","12","11.0","1.0","13.0","+2.0"
"12","","Leonard Fournette","JAC","9","13","13","13.0","0.0","7.0","-5.0"
"13","","Le'Veon Bell","PIT","7","6","21","13.5","7.5","2.0","-11.0"
"14","","Carlos Hyde","CLE","11","14","16","15.0","1.0","24.0","+10.0"
"15","","Dalvin Cook","MIN","10","14","17","15.5","1.5","10.0","-5.0"
"16","","Marshawn Lynch","OAK","7","15","17","16.0","1.0","23.0","+7.0"
"17","","Sony Michel","NE","11","16","18","17.0","1.0","27.0","+10.0"
"18","","Lamar Miller","HOU","10","18","19","18.5","0.5","21.0","+3.0"
"19","","Adrian Peterson","WAS","4","15","25","20.0","5.0","40.0","+21.0"
"20","","Devonta Freeman","ATL","8","19","21","20.0","1.0","12.0","-8.0"
"21","","Jay Ajayi","PHI","9","20","22","21.0","1.0","20.0","-1.0"
"22","","Alex Collins","BAL","10","20","22","21.0","1.0","16.0","-6.0"
"23","","James Conner","PIT","7","12","34","23.0","11.0","57.0","+34.0"
"24","","Kerryon Johnson","DET","6","23","29","26.0","3.0","25.0","+1.0"
"25","","Aaron Jones","GB","7","25","28","26.5","1.5","44.0","+19.0"
"26","","Dion Lewis","TEN","8","23","31","27.0","4.0","26.0","0.0"
"27","","Chris Thompson","WAS","4","24","30","27.0","3.0","36.0","+9.0"
"28","","LeSean McCoy","BUF","11","27","29","28.0","1.0","15.0","-13.0"
"29","","Phillip Lindsay","DEN","10","28","30","29.0","1.0","106.0","+77.0"
"30","","Tevin Coleman","ATL","8","26","35","30.5","4.5","29.0","-1.0"
"31","","Chris Carson","SEA","7","26","35","30.5","4.5","31.0","0.0"
"32","","Matt Breida","SF","11","24","39","31.5","7.5","53.0","+21.0"
"33","","Kenyan Drake","MIA","11","31","33","32.0","1.0","17.0","-16.0"
"34","","Royce Freeman","DEN","10","32","32","32.0","0.0","19.0","-15.0"
"35","","Derrick Henry","TEN","8","33","34","33.5","0.5","18.0","-17.0"
"36","","Jamaal Williams","GB","7","37","38","37.5","0.5","30.0","-6.0"
"37","","James White","NE","11","27","53","40.0","13.0","42.0","+5.0"
"38","","Nyheim Hines","IND","9","39","41","40.0","1.0","63.0","+25.0"
"39","","T.J. Yeldon","JAC","9","36","45","40.5","4.5","60.0","+21.0"
"40","","Austin Ekeler","LAC","8","37","45","41.0","4.0","58.0","+18.0"
"41","","Duke Johnson","CLE","11","40","43","41.5","1.5","38.0","-3.0"
"42","","Marlon Mack","IND","9","36","48","42.0","6.0","35.0","-7.0"
"43","","Ronald Jones II","TB","5","42","43","42.5","0.5","39.0","-4.0"
"44","","Isaiah Crowell","NYJ","11","42","46","44.0","2.0","33.0","-11.0"
"45","","Alfred Morris","SF","11","40","51","45.5","5.5","48.0","+3.0"
"46","","Bilal Powell","NYJ","11","41","50","45.5","4.5","50.0","+4.0"
"47","","Tarik Cohen","CHI","5","38","54","46.0","8.0","34.0","-13.0"
"48","","Giovani Bernard","CIN","9","44","49","46.5","2.5","51.0","+3.0"
"49","","Peyton Barber","TB","5","47","47","47.0","0.0","37.0","-12.0"
"50","","Rashaad Penny","SEA","7","44","52","48.0","4.0","32.0","-18.0"
"51","","Javorius Allen","BAL","10","46","50","48.0","2.0","65.0","+14.0"
"52","","Nick Chubb","CLE","11","48","57","52.5","4.5","43.0","-9.0"
"53","","Theo Riddick","DET","6","51","54","52.5","1.5","54.0","+1.0"
"54","","Latavius Murray","MIN","10","52","55","53.5","1.5","46.0","-8.0"
"55","","Darren Sproles","PHI","9","53","59","56.0","3.0","69.0","+14.0"
"56","","C.J. Anderson","CAR","4","55","58","56.5","1.5","41.0","-15.0"
"57","","Kenneth Dixon","BAL ","10","49","66","57.5","8.5","67.0","+10.0"
"58","","Jordan Wilkins","IND","9","57","58","57.5","0.5","55.0","-3.0"
"59","","Ty Montgomery","GB","7","56","62","59.0","3.0","47.0","-12.0"
"60","","Rod Smith","DAL","8","56","63","59.5","3.5","72.0","+12.0"
"61","","D'Onta Foreman","HOU ","10","60","64","62.0","2.0","59.0","-2.0"
"62","","Corey Clement","PHI","9","59","66","62.5","3.5","49.0","-13.0"
"63","","Frank Gore","MIA","11","62","63","62.5","0.5","62.0","-1.0"
"64","","Spencer Ware","KC","12","65","69","67.0","2.0","64.0","0.0"
"65","","Doug Martin","OAK","7","67","67","67.0","0.0","56.0","-9.0"
"66","","Chris Ivory","BUF","11","64","78","71.0","7.0","68.0","+2.0"
"67","","Chase Edmonds","ARI","9","70","72","71.0","1.0","76.0","+9.0"
"68","","Devontae Booker","DEN","10","70","73","71.5","1.5","45.0","-23.0"
"69","","Ito Smith","ATL","8","65","80","72.5","7.5","119.0","+50.0"
"70","","Wayne Gallman","NYG","9","71","77","74.0","3.0","77.0","+7.0"
"71","","Samaje Perine","WAS","4","74","74","74.0","0.0","74.0","+3.0"
"72","","Kyle Juszczyk","SF","11","61","90","75.5","14.5","113.0","+41.0"
"73","","Malcolm Brown","LAR","12","75","76","75.5","0.5","78.0","+5.0"
"74","","Rex Burkhead","NE ","11","60","60","60.0","0.0","28.0","-46.0"
"75","","Mike Davis","SEA","7","61","61","61.0","0.0","",""
"76","","Alfred Blue","HOU","10","68","85","76.5","8.5","90.0","+14.0"
"77","","John Kelly","LAR","12","72","82","77.0","5.0","70.0","-7.0"
"78","","LeGarrette Blount","DET","6","75","80","77.5","2.5","52.0","-26.0"
"79","","Robert Turbin","IND ","9","73","83","78.0","5.0","116.0","+37.0"
"80","","Marcus Murphy","BUF","11","68","68","68.0","0.0","104.0","+24.0"
"81","","Corey Grant","JAC","9","71","89","80.0","9.0","80.0","-1.0"
"82","","Elijah McGuire","NYJ ","11","78","82","80.0","2.0","83.0","+1.0"
"83","","Jalen Richard","OAK","7","69","100","84.5","15.5","87.0","+4.0"
"84","","Ameer Abdullah","DET","6","76","89","82.5","6.5","73.0","-11.0"
"85","","Mike Gillislee","NO","6","77","88","82.5","5.5","81.0","-4.0"
"86","","Jacquizz Rodgers","TB","5","81","84","82.5","1.5","100.0","+14.0"
"87","","Kalen Ballage","MIA","11","81","86","83.5","2.5","75.0","-12.0"
"88","","C.J. Prosise","SEA","7","84","85","84.5","0.5","79.0","-9.0"
"89","","Robert Kelley","WAS ","4","79","79","79.0","0.0","61.0","-28.0"
"90","","Wendell Smallwood","PHI","9","79","101","90.0","11.0","101.0","+11.0"
"91","","Mark Walton","CIN","9","83","92","87.5","4.5","99.0","+8.0"
"92","","DeAndre Washington","OAK","7","86","93","89.5","3.5","103.0","+11.0"
"93","","Jonathan Stewart","NYG ","9","87","87","87.0","0.0","71.0","-22.0"
"94","","Damien Williams","KC","12","87","103","95.0","8.0","",""
"95","","Justin Jackson","LAC","8","88","88","88.0","0.0","121.0","+26.0"
"96","","Roc Thomas","MIN","10","90","98","94.0","4.0","",""
"97","","Josh Adams","PHI","9","91","91","91.0","0.0","",""
"98","","De'Angelo Henderson","NYJ","11","91","102","96.5","5.5","112.0","+14.0"
"99","","Cameron Artis-Payne","CAR","4","94","94","94.0","0.0","92.0","-7.0"
"100","","Paul Perkins","NYG","9","95","95","95.0","0.0","",""
"101","","Raheem Mostert","SF","11","96","96","96.0","0.0","",""
"102","","Shane Vereen","NO ","6","97","97","97.0","0.0","109.0","+7.0"
"103","","Mike Boone","MIN","10","99","99","99.0","0.0","",""
"104","","Benny Cunningham","CHI","5","104","104","104.0","0.0","",""
""
""
