"Rank","WSIT","Tight Ends","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Travis Kelce","KC","12","1","1","1.0","0.0","2.0","+1.0"
"2","","Rob Gronkowski","NE","11","2","2","2.0","0.0","1.0","-1.0"
"3","","Zach Ertz","PHI","9","3","3","3.0","0.0","3.0","0.0"
"4","","Jordan Reed","WAS","4","4","4","4.0","0.0","10.0","+6.0"
"5","","Trey Burton","CHI","5","5","6","5.5","0.5","9.0","+4.0"
"6","","Jimmy Graham","GB","7","5","7","6.0","1.0","4.0","-2.0"
"7","","George Kittle","SF","11","6","11","8.5","2.5","13.0","+6.0"
"8","","David Njoku","CLE","11","7","10","8.5","1.5","11.0","+3.0"
"9","","Kyle Rudolph","MIN","10","8","9","8.5","0.5","7.0","-2.0"
"10","","Evan Engram","NYG","9","8","12","10.0","2.0","6.0","-4.0"
"11","","Jack Doyle","IND","9","9","11","10.0","1.0","12.0","+1.0"
"12","","O.J. Howard","TB","5","10","14","12.0","2.0","15.0","+3.0"
"13","","Jared Cook","OAK","7","12","14","13.0","1.0","16.0","+3.0"
"14","","Eric Ebron","IND","9","13","15","14.0","1.0","18.0","+4.0"
"15","","Vance McDonald","PIT","7","13","18","15.5","2.5","25.0","+10.0"
"16","","Benjamin Watson","NO","6","15","19","17.0","2.0","20.0","+4.0"
"17","","Ricky Seals-Jones","ARI","9","16","21","18.5","2.5","23.0","+6.0"
"18","","Cameron Brate","TB","5","17","20","18.5","1.5","19.0","+1.0"
"19","","Austin Hooper","ATL","8","17","20","18.5","1.5","21.0","+2.0"
"20","","Austin Seferian-Jenkins","JAC","9","16","24","20.0","4.0","17.0","-3.0"
"21","","Greg Olsen","CAR","4","19","21","20.0","1.0","5.0","-16.0"
"22","","Hayden Hurst","BAL","10","18","23","20.5","2.5","28.0","+6.0"
"23","","Charles Clay","BUF","11","22","22","22.0","0.0","22.0","-1.0"
"24","","Jesse James","PIT","7","23","27","25.0","2.0","26.0","+2.0"
"25","","Dallas Goedert","PHI","9","26","26","26.0","0.0","31.0","+6.0"
"26","","Mike Gesicki","MIA","11","24","29","26.5","2.5","24.0","-2.0"
"27","","Nick Vannett","SEA","7","25","31","28.0","3.0","32.0","+5.0"
"28","","Antonio Gates","LAC","8","27","31","29.0","2.0","29.0","+1.0"
"29","","Ian Thomas","CAR","4","30","30","30.0","0.0","",""
"30","","Jonnu Smith","TEN","8","25","36","30.5","5.5","48.0","+18.0"
"31","","Geoff Swaim","DAL","8","28","35","31.5","3.5","39.0","+8.0"
"32","","Mark Andrews","BAL","10","29","38","33.5","4.5","37.0","+5.0"
"33","","Vernon Davis","WAS","4","28","41","34.5","6.5","27.0","-6.0"
"34","","Luke Willson","DET","6","34","36","35.0","1.0","33.0","-1.0"
"35","","Gerald Everett","LAR","12","32","39","35.5","3.5","43.0","+8.0"
"36","","Tyler Kroft","CIN","9","33","42","37.5","4.5","45.0","+9.0"
"37","","Tyler Higbee","LAR","12","32","44","38.0","6.0","40.0","+3.0"
"38","","Ryan Griffin","HOU","10","37","41","39.0","2.0","35.0","-3.0"
"39","","Garrett Celek","SF","11","34","45","39.5","5.5","38.0","-1.0"
"40","","Virgil Green","LAC","8","33","48","40.5","7.5","36.0","-4.0"
"41","","Jaylen Samuels","PIT","7","40","44","42.0","2.0","44.0","+3.0"
"42","","Jordan Akins","HOU","10","35","53","44.0","9.0","42.0","0.0"
"43","","Rico Gathers","DAL","8","40","46","43.0","3.0","41.0","-2.0"
"44","","Blake Jarwin","DAL","8","37","37","37.0","0.0","34.0","-10.0"
"45","","A.J. Derby","MIA","11","38","61","49.5","11.5","",""
"46","","Niles Paul","JAC","9","39","39","39.0","0.0","",""
"47","","Marcedes Lewis","GB","7","42","42","42.0","0.0","50.0","+3.0"
"48","","Jacob Hollister","NE","11","43","43","43.0","0.0","",""
"49","","Adam Shaheen","CHI ","5","43","51","47.0","4.0","46.0","-3.0"
"50","","Nick Boyle","BAL","10","45","45","45.0","0.0","",""
"51","","Michael Roberts","DET","6","46","60","53.0","7.0","",""
"52","","Ed Dickson","SEA","7","47","47","47.0","0.0","51.0","-1.0"
"53","","Jeff Heuerman","DEN","10","47","57","52.0","5.0","47.0","-6.0"
"54","","Dwayne Allen","NE","11","48","52","50.0","2.0","",""
"55","","Lance Kendricks","GB","7","49","49","49.0","0.0","",""
"56","","Maxx Williams","BAL","10","49","49","49.0","0.0","",""
"57","","Eric Tomlinson","NYJ","11","50","50","50.0","0.0","55.0","-2.0"
"58","","Jordan Leggett","NYJ","11","54","54","54.0","0.0","",""
"59","","Dalton Schultz","DAL","8","55","55","55.0","0.0","",""
"60","","Chris Herndon IV","NYJ","11","56","56","56.0","0.0","52.0","-8.0"
"61","","Levine Toilolo","DET","6","58","58","58.0","0.0","",""
"62","","Jermaine Gresham","ARI","9","59","59","59.0","0.0","",""
"63","","Seth DeValve","CLE","11","62","62","62.0","0.0","54.0","-9.0"
"64","","Demetrius Harris","KC","12","63","63","63.0","0.0","",""
"65","","Logan Thomas","BUF","11","64","64","64.0","0.0","",""
"66","","Josh Hill","NO","6","65","65","65.0","0.0","",""
"67","","David Morgan","MIN","10","66","66","66.0","0.0","",""
""
""
