"Rank","WSIT","Wide Receivers","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Antonio Brown","PIT","7","1","2","1.5","0.5","1.0","0.0"
"2","","Michael Thomas","NO","6","1","2","1.5","0.5","5.0","+3.0"
"3","","Julio Jones","ATL","8","3","3","3.0","0.0","4.0","+1.0"
"4","","Odell Beckham Jr.","NYG","9","4","4","4.0","0.0","3.0","-1.0"
"5","","DeAndre Hopkins","HOU","10","5","5","5.0","0.0","2.0","-3.0"
"6","","Davante Adams","GB","7","6","7","6.5","0.5","6.0","0.0"
"7","","Keenan Allen","LAC","8","6","8","7.0","1.0","7.0","0.0"
"8","","Tyreek Hill","KC","12","7","10","8.5","1.5","10.0","+2.0"
"9","","A.J. Green","CIN","9","8","9","8.5","0.5","8.0","-1.0"
"10","","Mike Evans","TB","5","9","10","9.5","0.5","9.0","-1.0"
"11","","Stefon Diggs","MIN","10","11","13","12.0","1.0","11.0","0.0"
"12","","JuJu Smith-Schuster","PIT","7","12","13","12.5","0.5","16.0","+4.0"
"13","","Adam Thielen","MIN","10","11","15","13.0","2.0","13.0","0.0"
"14","","Brandin Cooks","LAR","12","14","14","14.0","0.0","19.0","+5.0"
"15","","Doug Baldwin","SEA","7","12","17","14.5","2.5","15.0","0.0"
"16","","Jarvis Landry","CLE","11","15","18","16.5","1.5","18.0","+2.0"
"17","","T.Y. Hilton","IND","9","16","18","17.0","1.0","12.0","-5.0"
"18","","Allen Robinson","CHI","5","17","19","18.0","1.0","23.0","+5.0"
"19","","Amari Cooper","OAK","7","20","21","20.5","0.5","14.0","-5.0"
"20","","Alshon Jeffery","PHI","9","19","25","22.0","3.0","26.0","+6.0"
"21","","Emmanuel Sanders","DEN","10","16","30","23.0","7.0","30.0","+9.0"
"22","","Golden Tate","DET","6","23","23","23.0","0.0","21.0","-1.0"
"23","","Corey Davis","TEN","8","22","26","24.0","2.0","27.0","+4.0"
"24","","Kenny Golladay","DET","6","24","28","26.0","2.0","52.0","+28.0"
"25","","John Brown","BAL","10","25","29","27.0","2.0","60.0","+35.0"
"26","","Cooper Kupp","LAR","12","21","34","27.5","6.5","36.0","+10.0"
"27","","Will Fuller","HOU","10","22","33","27.5","5.5","33.0","+6.0"
"28","","Robert Woods","LAR","12","24","31","27.5","3.5","32.0","+4.0"
"29","","Marvin Jones","DET","6","26","31","28.5","2.5","25.0","-4.0"
"30","","Calvin Ridley","ATL","8","28","30","29.0","1.0","49.0","+19.0"
"31","","Demaryius Thomas","DEN","10","27","32","29.5","2.5","20.0","-11.0"
"32","","Josh Gordon","NE","11","27","35","31.0","4.0","22.0","-10.0"
"33","","Sammy Watkins","KC","12","29","33","31.0","2.0","35.0","+2.0"
"34","","Larry Fitzgerald","ARI","9","20","43","31.5","11.5","17.0","-17.0"
"35","","Julian Edelman","NE ","11","32","40","36.0","4.0","31.0","-4.0"
"36","","Quincy Enunwa","NYJ","11","36","37","36.5","0.5","84.0","+48.0"
"37","","Sterling Shepard","NYG","9","35","40","37.5","2.5","44.0","+7.0"
"38","","Chris Hogan","NE","11","37","39","38.0","1.0","24.0","-14.0"
"39","","Mike Williams","LAC","8","38","38","38.0","0.0","48.0","+9.0"
"40","","Nelson Agholor","PHI","9","36","42","39.0","3.0","40.0","0.0"
"41","","Geronimo Allison","GB","7","39","41","40.0","1.0","66.0","+25.0"
"42","","Michael Crabtree","BAL","10","34","53","43.5","9.5","29.0","-13.0"
"43","","Devin Funchess","CAR","4","41","46","43.5","2.5","37.0","-6.0"
"44","","Jamison Crowder","WAS","4","43","44","43.5","0.5","42.0","-2.0"
"45","","Tyler Boyd","CIN","9","42","48","45.0","3.0","118.0","+73.0"
"46","","Keelan Cole","JAC","9","45","45","45.0","0.0","50.0","+4.0"
"47","","Randall Cobb","GB","7","46","47","46.5","0.5","41.0","-6.0"
"48","","Marquise Goodwin","SF","11","47","51","49.0","2.0","28.0","-20.0"
"49","","DeSean Jackson","TB","5","49","51","50.0","1.0","58.0","+9.0"
"50","","Kelvin Benjamin","BUF","11","44","59","51.5","7.5","46.0","-4.0"
"51","","Kenny Stills","MIA","11","48","55","51.5","3.5","45.0","-6.0"
"52","","Chris Godwin","TB","5","52","53","52.5","0.5","61.0","+9.0"
"53","","Jordy Nelson","OAK","7","50","56","53.0","3.0","38.0","-15.0"
"54","","Devante Parker","MIA","11","52","54","53.0","1.0","43.0","-11.0"
"55","","Dede Westbrook","JAC","9","49","61","55.0","6.0","68.0","+13.0"
"56","","Robby Anderson","NYJ","11","55","58","56.5","1.5","39.0","-17.0"
"57","","Tyler Lockett","SEA","7","50","65","57.5","7.5","55.0","-2.0"
"58","","Ryan Grant","IND","9","57","58","57.5","0.5","82.0","+24.0"
"59","","Mohamed Sanu","ATL","8","54","63","58.5","4.5","53.0","-6.0"
"60","","Keke Coutee","HOU","10","56","63","59.5","3.5","105.0","+45.0"
"61","","Antonio Callaway","CLE","11","57","66","61.5","4.5","91.0","+30.0"
"62","","Pierre Garcon","SF","11","59","64","61.5","2.5","34.0","-28.0"
"63","","Ted Ginn","NO","6","61","62","61.5","0.5","62.0","-1.0"
"64","","Cameron Meredith","NO","6","60","69","64.5","4.5","57.0","-7.0"
"65","","Taywan Taylor","TEN","8","60","70","65.0","5.0","86.0","+21.0"
"66","","Donte Moncrief","JAC","9","62","68","65.0","3.0","75.0","+9.0"
"67","","D.J. Moore","CAR","4","66","68","67.0","1.0","51.0","-16.0"
"68","","Christian Kirk","ARI","9","65","71","68.0","3.0","72.0","+4.0"
"69","","Brandon Marshall","SEA","7","70","71","70.5","0.5","85.0","+16.0"
"70","","Josh Doctson","WAS","4","67","77","72.0","5.0","56.0","-14.0"
"71","","Allen Hurns","DAL","8","72","72","72.0","0.0","47.0","-24.0"
"72","","Paul Richardson","WAS","4","64","81","72.5","8.5","69.0","-3.0"
"73","","Taylor Gabriel","CHI","5","67","81","74.0","7.0","119.0","+46.0"
"74","","Dante Pettis","SF","11","73","76","74.5","1.5","96.0","+22.0"
"75","","James Washington","PIT","7","74","78","76.0","2.0","77.0","+2.0"
"76","","Michael Gallup","DAL","8","74","80","77.0","3.0","54.0","-22.0"
"77","","Courtland Sutton","DEN","10","76","79","77.5","1.5","74.0","-3.0"
"78","","Anthony Miller","CHI","5","69","88","78.5","9.5","64.0","-14.0"
"79","","Cole Beasley","DAL","8","75","86","80.5","5.5","76.0","-3.0"
"80","","Tyrell Williams","LAC","8","80","82","81.0","1.0","65.0","-15.0"
"81","","John Ross","CIN","9","75","89","82.0","7.0","70.0","-11.0"
"82","","Willie Snead","BAL","10","78","87","82.5","4.5","97.0","+15.0"
"83","","Jakeem Grant","MIA","11","83","84","83.5","0.5","",""
"84","","Albert Wilson","MIA","11","86","87","86.5","0.5","90.0","+6.0"
"85","","Terrelle Pryor","NYJ","11","84","90","87.0","3.0","89.0","+4.0"
"86","","Rashard Higgins","CLE","11","83","92","87.5","4.5","113.0","+27.0"
"87","","Tre'Quan Smith","NO","6","85","91","88.0","3.0","83.0","-4.0"
"88","","Chris Conley","KC","12","88","91","89.5","1.5","",""
"89","","Phillip Dorsett","NE","11","85","98","91.5","6.5","81.0","-8.0"
"90","","Danny Amendola","MIA","11","92","93","92.5","0.5","73.0","-17.0"
"91","","Tavon Austin","DAL","8","89","100","94.5","5.5","92.0","+1.0"
"92","","Jaron Brown","SEA","7","93","97","95.0","2.0","101.0","+9.0"
"93","","Cordarrelle Patterson","NE","11","95","95","95.0","0.0","88.0","-5.0"
"94","","Travis Benjamin","LAC","8","96","96","96.0","0.0","87.0","-7.0"
"95","","Torrey Smith","CAR","4","94","101","97.5","3.5","106.0","+11.0"
"96","","Dez Bryant","FA","","73","73","73.0","0.0","67.0","-29.0"
"97","","Chester Rogers","IND","9","90","107","98.5","8.5","108.0","+11.0"
"98","","Trent Taylor","SF","11","98","99","98.5","0.5","107.0","+9.0"
"99","","Chad Williams","ARI","9","94","105","99.5","5.5","111.0","+12.0"
"100","","Zay Jones","BUF","11","97","102","99.5","2.5","93.0","-7.0"
"101","","Martavis Bryant","OAK","7","77","77","77.0","0.0","63.0","-38.0"
"102","","Rishard Matthews","FA","","79","79","79.0","0.0","59.0","-43.0"
"103","","Jermaine Kearse","NYJ","11","99","105","102.0","3.0","80.0","-23.0"
"104","","Laquon Treadwell","MIN","10","100","104","102.0","2.0","102.0","-2.0"
"105","","Marquez Valdes-Scantling","GB","7","82","82","82.0","0.0","120.0","+15.0"
"106","","Terrance Williams","DAL","8","104","109","106.5","2.5","79.0","-27.0"
"107","","Adam Humphries","TB","5","106","111","108.5","2.5","100.0","-7.0"
"108","","Shelton Gibson","PHI","9","106","112","109.0","3.0","",""
"109","","D.J. Chark","JAC","9","102","117","109.5","7.5","103.0","-6.0"
"110","","Curtis Samuel","CAR","4","109","113","111.0","2.0","115.0","+5.0"
"111","","DaeSean Hamilton","DEN","10","108","115","111.5","3.5","122.0","+11.0"
"112","","Seth Roberts","OAK","7","110","114","112.0","2.0","131.0","+19.0"
"113","","J.J. Nelson","ARI","9","101","125","113.0","12.0","112.0","-1.0"
