"Rank","Tier","WSID","Running Backs","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","11","1","5","1.5","0.8","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","7","1","6","2.3","0.9","2.0","0.0"
"3","1","","Alvin Kamara","NO","9","1","6","2.5","1.0","3.0","0.0"
"4","2","","Ezekiel Elliott","DAL","8","1","23","5.2","2.6","4.0","0.0"
"5","2","","David Johnson","ARI","12","1","18","5.4","1.8","5.0","0.0"
"6","2","","James Conner","PIT","7","2","25","7.3","2.1","7.0","+1.0"
"7","2","","Nick Chubb","CLE","7","1","16","7.4","2.1","10.0","+3.0"
"8","2","","Le'Veon Bell","NYJ","4","2","20","7.9","2.3","6.0","-2.0"
"9","2","","Dalvin Cook","MIN","12","4","18","9.3","2.0","11.0","+2.0"
"10","2","","Joe Mixon","CIN","9","5","18","9.8","2.3","9.0","-1.0"
"11","3","","Todd Gurley","LAR","9","4","22","10.7","3.4","8.0","-3.0"
"12","3","","Kerryon Johnson","DET","5","7","25","14.3","3.0","14.0","+2.0"
"13","3","","Damien Williams","KC","12","6","29","14.6","4.0","12.0","-1.0"
"14","3","","Aaron Jones","GB","11","5","30","15.0","3.5","16.0","+2.0"
"15","3","","Leonard Fournette","JAC","10","5","27","15.5","3.1","13.0","-2.0"
"16","3","","Devonta Freeman","ATL","9","7","24","16.4","3.1","15.0","-1.0"
"17","3","","Chris Carson","SEA","11","10","28","17.3","3.8","21.0","+4.0"
"18","4","","Josh Jacobs","OAK","6","11","28","19.2","3.5","17.0","-1.0"
"19","4","","Derrick Henry","TEN","11","9","33","19.7","3.6","20.0","+1.0"
"20","4","","Marlon Mack","IND","6","16","31","20.8","3.6","19.0","-1.0"
"21","4","","Melvin Gordon","LAC","12","6","48","21.1","6.7","18.0","-3.0"
"22","4","","Sony Michel","NE","10","13","33","21.5","3.3","23.0","+1.0"
"23","4","","David Montgomery","CHI","6","8","33","21.5","4.9","24.0","+1.0"
"24","4","","Mark Ingram","BAL","8","11","32","22.1","3.7","22.0","-2.0"
"25","4","","Phillip Lindsay","DEN","10","18","41","25.8","3.4","26.0","+1.0"
"26","4","","Duke Johnson","HOU","10","17","43","26.9","4.4","33.0","+7.0"
"27","4","","James White","NE","10","15","41","27.1","3.1","25.0","-2.0"
"28","4","","Tevin Coleman","SF","4","17","40","27.3","3.8","28.0","0.0"
"29","5","","Miles Sanders","PHI","10","21","64","30.0","5.6","30.0","+1.0"
"30","5","","Tarik Cohen","CHI","6","14","51","31.1","3.8","27.0","-3.0"
"31","5","","Latavius Murray","NO","9","14","51","31.4","3.9","34.0","+3.0"
"32","5","","Kenyan Drake","MIA","5","11","60","32.2","4.9","29.0","-3.0"
"33","5","","Austin Ekeler","LAC","12","21","54","32.2","5.0","31.0","-2.0"
"34","5","","Derrius Guice","WAS","10","14","54","34.4","4.8","32.0","-2.0"
"35","5","","Rashaad Penny","SEA","11","25","52","36.0","4.3","35.0","0.0"
"36","5","","Royce Freeman","DEN","10","26","51","36.5","3.4","40.0","+4.0"
"37","5","","Matt Breida","SF","4","25","72","38.7","6.9","41.0","+4.0"
"38","5","","Jordan Howard","PHI","10","25","67","39.5","6.1","37.0","-1.0"
"39","5","","Darrell Henderson","LAR","9","18","61","41.3","5.9","36.0","-3.0"
"40","5","","Kalen Ballage","MIA","5","29","66","41.6","5.8","44.0","+4.0"
"41","5","","LeSean McCoy","BUF","6","26","66","41.6","6.1","38.0","-3.0"
"42","6","","Peyton Barber","TB","7","27","66","43.8","6.6","42.0","0.0"
"43","6","","Dion Lewis","TEN","11","32","66","45.3","5.0","48.0","+5.0"
"44","6","","Adrian Peterson","WAS","10","28","71","45.7","6.8","45.0","+1.0"
"45","6","","Ronald Jones II","TB","7","30","78","48.4","8.4","46.0","+1.0"
"46","6","","Jaylen Samuels","PIT","7","30","71","50.1","6.8","43.0","-3.0"
"47","6","","Devin Singletary","BUF","6","20","73","50.9","8.5","47.0","0.0"
"48","6","","Justin Jackson","LAC","12","29","85","51.4","9.7","56.0","+8.0"
"49","6","","Justice Hill","BAL","8","34","84","51.6","9.8","54.0","+5.0"
"50","6","","Damien Harris","NE","10","36","84","54.9","9.7","52.0","+2.0"
"51","6","","Darwin Thompson","KC","12","26","98","50.2","13.4","50.0","-1.0"
"52","6","","Ito Smith","ATL","9","36","84","55.2","8.9","53.0","+1.0"
"53","6","","Tony Pollard","DAL","8","32","108","52.8","13.4","51.0","-2.0"
"54","6","","C.J. Anderson","DET","5","42","79","57.2","6.7","61.0","+7.0"
"55","6","","Chris Thompson","WAS","10","38","108","56.3","8.7","59.0","+4.0"
"56","6","","Nyheim Hines","IND","6","56","80","60.8","5.6","49.0","-7.0"
"57","6","","Kareem Hunt","CLE","7","36","81","57.8","8.5","39.0","-18.0"
"58","6","","Alexander Mattison","MIN","12","39","100","59.0","10.1","55.0","-3.0"
"59","7","","Giovani Bernard","CIN","9","44","101","59.1","7.1","62.0","+3.0"
"60","7","","Mike Davis","CHI","6","38","78","60.6","6.8","66.0","+6.0"
"61","7","","Jamaal Williams","GB","11","43","82","60.2","7.9","65.0","+4.0"
"62","7","","Jalen Richard","OAK","6","39","92","62.4","9.2","60.0","-2.0"
"63","7","","Chase Edmonds","ARI","12","42","89","64.2","8.6","73.0","+10.0"
"64","7","","Carlos Hyde","KC","12","30","113","62.8","13.0","57.0","-7.0"
"65","7","","Malcolm Brown","LAR","9","40","89","63.8","9.7","67.0","+2.0"
"66","7","","Jerick McKinnon","SF","4","32","115","65.6","12.4","58.0","-8.0"
"67","7","","Gus Edwards","BAL","8","48","101","68.9","8.0","70.0","+3.0"
"68","7","","Rex Burkhead","NE","10","44","89","67.1","7.3","69.0","+1.0"
"69","7","","Ty Montgomery","NYJ","4","43","99","67.1","12.7","63.0","-6.0"
"70","7","","Frank Gore","BUF","6","46","102","69.3","8.1","72.0","+2.0"
"71","7","","Ryquell Armstead","JAC","10","51","97","70.0","8.8","74.0","+3.0"
"72","7","","T.J. Yeldon","BUF","6","50","97","75.2","9.5","71.0","-1.0"
"73","8","","Kenneth Dixon","BAL","8","53","114","76.6","11.0","105.0","+32.0"
"74","8","","Elijah McGuire","NYJ","4","48","153","78.6","17.2","81.0","+7.0"
"75","8","","Benny Snell Jr.","PIT","7","38","108","78.9","9.6","78.0","+3.0"
"76","8","","Theo Riddick","DEN","10","58","121","79.2","10.7","99.0","+23.0"
"77","8","","Corey Clement","PHI","10","66","99","80.4","8.2","97.0","+20.0"
"78","8","","Alfred Blue","JAC","10","61","140","82.4","11.7","84.0","+6.0"
"79","8","","Dexter Williams","GB","11","50","111","80.3","12.2","80.0","+1.0"
"80","8","","Jordan Wilkins","IND","6","66","109","85.0","8.2","150.0","+70.0"
"81","8","","Wayne Gallman","NYG","11","68","115","86.8","9.4","90.0","+9.0"
"82","8","","Doug Martin","FA","","51","208","81.2","21.2","85.0","+3.0"
"83","8","","Devontae Booker","DEN","10","66","123","87.4","10.0","87.0","+4.0"
"84","8","","Brian Hill","ATL","9","55","115","78.6","13.0","77.0","-7.0"
"85","8","","Dontrell Hilliard","CLE","7","46","103","76.0","12.7","75.0","-10.0"
"86","8","","Cameron Artis-Payne","CAR","7","50","129","92.6","10.9","93.0","+7.0"
"87","8","","Qadree Ollison","ATL","9","56","105","84.7","10.1","83.0","-4.0"
"88","8","","Damarea Crockett","HOU","10","57","118","78.4","16.3","114.0","+26.0"
"89","8","","Josh Adams","PHI","10","35","147","87.9","16.0","124.0","+35.0"
"90","8","","Wendell Smallwood","PHI","10","73","155","91.2","12.8","119.0","+29.0"
"91","8","","Bilal Powell","NYJ","4","65","119","89.8","12.0","101.0","+10.0"
"92","8","","John Kelly","LAR","9","75","162","96.1","14.4","161.0","+69.0"
"93","8","","Mike Weber","DAL","8","68","195","94.9","17.6","95.0","+2.0"
"94","9","","Dare Ogunbowale","TB","7","50","123","72.0","14.1","88.0","-6.0"
"95","9","","Zach Zenner","DET","5","70","127","98.8","10.0","142.0","+47.0"
"96","9","","Myles Gaskin","MIA","5","52","119","96.0","10.1","106.0","+10.0"
"97","9","","Alfred Morris","DAL","8","53","136","92.0","16.9","76.0","-21.0"
"98","9","","Bruce Anderson","TB","7","55","131","91.0","14.7","100.0","+2.0"
"99","9","","Andre Ellington","TB","7","61","123","94.2","14.6","263.0","+164.0"
"100","9","","Darren Sproles","PHI","10","68","137","90.2","16.2","89.0","-11.0"
"101","9","","Ameer Abdullah","MIN","12","85","151","102.3","12.6","115.0","+14.0"
"102","9","","Trayveon Williams","CIN","9","76","124","96.3","10.0","92.0","-10.0"
"103","9","","Rod Smith","NYG","11","70","145","97.0","10.6","260.0","+157.0"
"104","9","","Spencer Ware","IND","6","62","215","94.7","24.0","140.0","+36.0"
"105","9","","D'Onta Foreman","FA","","49","207","89.0","30.0","68.0","-37.0"
"106","9","","Rodney Anderson","CIN","9","70","142","97.8","14.1","79.0","-27.0"
"107","9","","Darrel Williams","KC","12","58","122","95.8","13.8","102.0","-5.0"
"108","9","","Jordan Scarlett","CAR","7","59","133","93.2","18.3","104.0","-4.0"
"109","9","","Mike Boone","MIN","12","71","127","95.3","15.0","145.0","+36.0"
"110","9","","Ty Johnson","DET","5","58","119","83.9","17.6","103.0","-7.0"
"111","9","","Jeff Wilson","SF","4","76","143","100.8","14.9","157.0","+46.0"
"112","9","","Mark Walton","MIA","5","64","137","99.6","14.9","167.0","+55.0"
"113","9","","Trenton Cannon","NYJ","4","83","158","105.9","14.6","251.0","+138.0"
"114","9","","Bryce Love","WAS","10","72","216","106.7","24.3","94.0","-20.0"
"115","9","","Karan Higdon","HOU","10","46","168","92.9","28.8","121.0","+6.0"
"116","9","","Marcus Murphy","BUF","6","89","140","110.3","13.3","247.0","+131.0"
"117","9","","Jay Ajayi","FA","","68","221","101.0","30.4","64.0","-53.0"
"118","9","","DeAndre Washington","OAK","6","69","125","101.2","15.1","129.0","+11.0"
"119","10","","Travis Homer","SEA","11","66","133","102.1","14.4","182.0","+63.0"
"120","10","","J.D. McKissic","SEA","11","77","171","104.7","20.7","259.0","+139.0"
"121","10","","Raheem Mostert","SF","4","72","132","106.4","12.6","112.0","-9.0"
"122","10","","Kyle Juszczyk","SF","4","65","127","104.4","12.1","138.0","+16.0"
"123","10","","C.J. Prosise","SEA","11","65","144","106.4","17.8","159.0","+36.0"
"124","10","","Elijah Holyfield","CAR","7","64","194","117.0","24.3","91.0","-33.0"
"125","10","","Boston Scott","PHI","10","92","209","120.1","25.2","170.0","+45.0"
"126","10","","Devine Ozigbo","NO","9","84","197","111.1","27.0","96.0","-30.0"
"127","10","","Paul Perkins","NYG","11","72","137","112.4","13.3","135.0","+8.0"
"128","10","","Dwayne Washington","NO","9","94","132","112.1","12.2","165.0","+37.0"
"129","10","","Alex Barnes","TEN","11","75","136","108.3","17.1","162.0","+33.0"
"130","10","","Josh Ferguson","HOU","10","63","127","105.2","20.7","261.0","+131.0"
"131","10","","Darius Jackson","DAL","8","83","139","114.1","14.6","86.0","-45.0"
"132","10","","T.J. Logan","ARI","12","95","135","120.5","10.0","237.0","+105.0"
"133","10","","Javorius Allen","FA","","86","212","116.1","35.2","198.0","+65.0"
"134","10","","James Develin","NE","10","90","138","115.3","12.6","98.0","-36.0"
"135","10","","Samaje Perine","WAS","10","84","170","121.1","20.2","151.0","+16.0"
"136","10","","Detrez Newsome","LAC","12","85","142","120.7","11.7","171.0","+35.0"
"137","10","","David Fluellen","TEN","11","89","133","117.6","8.3","240.0","+103.0"
"138","10","","Tavon Austin","DAL","8","75","145","115.0","20.2","",""
"139","10","","LeGarrette Blount","FA","","88","141","112.3","18.0","111.0","-28.0"
"140","10","","Jacquizz Rodgers","NO","9","92","159","126.9","19.1","164.0","+24.0"
