"Rank","Tier","WSID","Tight Ends","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Travis Kelce","KC","12","1","2","1.0","0.0","1.0","0.0"
"2","1","","George Kittle","SF","4","2","5","2.3","0.5","3.0","+1.0"
"3","1","","Zach Ertz","PHI","10","2","5","2.9","0.6","2.0","-1.0"
"4","2","","O.J. Howard","TB","7","2","8","4.6","0.8","4.0","0.0"
"5","2","","Evan Engram","NYG","11","2","12","5.2","1.2","5.0","0.0"
"6","2","","Hunter Henry","LAC","12","3","11","5.6","1.2","6.0","0.0"
"7","2","","Jared Cook","NO","9","1","12","7.7","1.4","7.0","0.0"
"8","2","","Vance McDonald","PIT","7","6","21","8.8","1.9","9.0","+1.0"
"9","2","","David Njoku","CLE","7","4","17","8.9","1.7","10.0","+1.0"
"10","3","","Austin Hooper","ATL","9","7","21","10.8","2.1","11.0","+1.0"
"11","3","","Delanie Walker","TEN","11","7","29","12.7","2.7","12.0","+1.0"
"12","3","","Trey Burton","CHI","6","8","23","13.6","2.6","15.0","+3.0"
"13","3","","Mark Andrews","BAL","8","8","31","14.9","4.5","16.0","+3.0"
"14","3","","Kyle Rudolph","MIN","12","10","26","17.3","3.0","13.0","-1.0"
"15","3","","Jordan Reed","WAS","10","8","31","17.4","4.1","17.0","+2.0"
"16","3","","Eric Ebron","IND","6","16","22","18.0","1.8","8.0","-8.0"
"17","3","","Jimmy Graham","GB","11","5","34","18.2","3.9","19.0","+2.0"
"18","3","","Greg Olsen","CAR","7","8","40","18.4","4.7","14.0","-4.0"
"19","4","","T.J. Hockenson","DET","5","7","30","20.1","4.4","18.0","-1.0"
"20","4","","Dallas Goedert","PHI","10","12","32","21.3","3.8","23.0","+3.0"
"21","4","","Chris Herndon IV","NYJ","4","13","41","20.5","4.4","20.0","-1.0"
"22","4","","Jack Doyle","IND","6","21","37","23.2","3.3","22.0","0.0"
"23","4","","Noah Fant","DEN","10","7","35","22.7","4.1","21.0","-2.0"
"24","4","","Tyler Eifert","CIN","9","11","36","24.5","4.3","25.0","+1.0"
"25","4","","Mike Gesicki","MIA","5","14","47","26.2","5.1","29.0","+4.0"
"26","4","","Darren Waller","OAK","6","12","37","22.6","5.5","26.0","0.0"
"27","4","","Gerald Everett","LAR","9","17","39","26.8","3.8","32.0","+5.0"
"28","4","","Jason Witten","DAL","8","16","88","29.8","7.7","24.0","-4.0"
"29","4","","Cameron Brate","TB","7","19","45","30.6","4.3","34.0","+5.0"
"30","5","","Ian Thomas","CAR","7","21","47","31.6","4.8","31.0","+1.0"
"31","5","","Hayden Hurst","BAL","8","25","46","32.6","4.4","35.0","+4.0"
"32","5","","Ricky Seals-Jones","ARI","12","19","50","34.2","5.9","46.0","+14.0"
"33","5","","Will Dissly","SEA","11","23","49","33.3","6.6","39.0","+6.0"
"34","5","","Nick Vannett","SEA","11","27","64","38.3","7.4","57.0","+23.0"
"35","5","","Charles Clay","ARI","12","25","67","39.7","7.3","54.0","+19.0"
"36","5","","Irv Smith Jr.","MIN","12","23","58","37.9","5.8","27.0","-9.0"
"37","5","","Matt LaCosse","NE","10","19","70","35.6","7.7","30.0","-7.0"
"38","5","","Jordan Thomas","HOU","10","19","86","37.1","10.2","37.0","-1.0"
"39","6","","Jonnu Smith","TEN","11","28","59","40.6","6.3","52.0","+13.0"
"40","6","","Benjamin Watson","NE","10","23","61","36.6","7.6","28.0","-12.0"
"41","6","","Geoff Swaim","JAC","10","19","55","34.6","7.7","36.0","-5.0"
"42","6","","Vernon Davis","WAS","10","25","55","39.4","6.8","48.0","+6.0"
"43","6","","C.J. Uzomah","CIN","9","28","56","41.1","5.9","40.0","-3.0"
"44","6","","Blake Jarwin","DAL","8","24","59","40.5","7.9","42.0","-2.0"
"45","6","","Jake Butt","DEN","10","27","74","44.7","10.7","44.0","-1.0"
"46","6","","Jesse James","DET","5","26","55","42.9","7.0","33.0","-13.0"
"47","6","","Jace Sternberger","GB","11","23","65","44.8","9.3","38.0","-9.0"
"48","6","","Josh Oliver","JAC","10","19","61","43.9","8.2","60.0","+12.0"
"49","6","","Adam Shaheen","CHI","6","24","62","45.3","6.9","72.0","+23.0"
"50","6","","Tyler Higbee","LAR","9","28","56","44.6","4.5","55.0","+5.0"
"51","6","","Dawson Knox","BUF","6","23","69","43.4","9.2","51.0","0.0"
"52","6","","Luke Willson","OAK","6","34","78","50.3","12.1","140.0","+88.0"
"53","7","","Tyler Kroft","BUF","6","30","65","47.1","7.2","187.0","+134.0"
"54","7","","Kahale Warring","HOU","10","32","87","54.0","13.9","113.0","+59.0"
"55","7","","Mo Alie-Cox","IND","6","31","96","56.2","13.3","128.0","+73.0"
"56","7","","Jeff Heuerman","DEN","10","29","63","52.6","5.2","122.0","+66.0"
"57","7","","Josh Hill","NO","9","44","73","59.3","6.7","49.0","-8.0"
"58","7","","Demetrius Harris","CLE","7","42","69","53.7","7.0","50.0","-8.0"
"59","7","","Jordan Akins","HOU","10","29","71","56.6","10.2","86.0","+27.0"
"60","7","","Jason Croom","BUF","6","47","95","63.1","12.8","161.0","+101.0"
"61","7","","Rhett Ellison","NYG","11","39","83","59.4","9.3","67.0","+6.0"
"62","7","","James O'Shaughnessy","JAC","10","51","77","64.5","7.2","63.0","+1.0"
"63","7","","Foster Moreau","OAK","6","38","90","66.5","12.5","96.0","+33.0"
"64","7","","Virgil Green","LAC","12","49","78","66.3","6.6","65.0","+1.0"
"65","7","","Jacob Hollister","SEA","11","40","95","59.7","16.2","88.0","+23.0"
"66","7","","Ed Dickson","SEA","11","51","90","65.5","10.0","78.0","+12.0"
"67","7","","Blake Bell","KC","12","49","71","57.0","5.2","45.0","-22.0"
"68","7","","Xavier Grimble","PIT","7","42","79","62.9","8.5","59.0","-9.0"
"69","7","","Maxx Williams","ARI","12","33","96","67.0","14.6","76.0","+7.0"
"70","7","","Nick Boyle","BAL","8","39","89","67.2","11.0","82.0","+12.0"
"71","7","","Dan Arnold","NO","9","44","88","68.4","11.2","74.0","+3.0"
"72","7","","Nick O'Leary","MIA","5","37","94","70.4","14.6","90.0","+18.0"
"73","8","","Garrett Celek","SF","4","48","90","68.2","8.9","98.0","+25.0"
"74","8","","Dwayne Allen","MIA","5","30","111","72.4","17.5","106.0","+32.0"
"75","8","","Anthony Firkser","TEN","11","58","95","74.3","9.6","115.0","+40.0"
"76","8","","Ryan Griffin","NYJ","4","50","173","78.0","36.2","69.0","-7.0"
"77","8","","Luke Stocker","ATL","9","40","89","74.6","10.5","117.0","+40.0"
"78","8","","Drew Sample","CIN","9","55","100","78.7","10.8","118.0","+40.0"
"79","8","","Dalton Schultz","DAL","8","66","157","81.9","23.9","64.0","-15.0"
"80","8","","Logan Paulsen","ATL","9","53","93","78.3","12.9","89.0","+9.0"
"81","8","","Jeremy Sprinkle","WAS","10","71","101","83.6","10.0","66.0","-15.0"
"82","8","","Austin Seferian-Jenkins","FA","","26","182","63.0","53.8","84.0","+2.0"
"83","8","","Zach Gentry","PIT","7","50","116","90.1","13.3","61.0","-22.0"
"84","8","","Tyler Conklin","NE","10","58","102","81.3","10.5","95.0","+11.0"
"85","8","","Seth DeValve","CLE","7","61","107","82.1","12.0","99.0","+14.0"
"86","8","","Troy Fumagalli","DEN","10","53","97","85.4","12.0","130.0","+44.0"
"87","8","","Darren Fells","HOU","10","31","118","92.2","19.0","108.0","+21.0"
"88","8","","Derek Carrier","OAK","6","80","101","92.7","5.7","75.0","-13.0"
"89","8","","Marcedes Lewis","GB","11","75","113","92.8","10.3","79.0","-10.0"
"90","8","","Stephen Anderson","NE","10","56","94","76.2","9.6","112.0","+22.0"
"91","8","","Antony Auclair","TB","7","79","138","95.1","16.1","159.0","+68.0"
"92","8","","Trevon Wesco","NYJ","4","44","114","79.8","26.0","101.0","+9.0"
"93","9","","Jordan Leggett","TB","7","67","102","82.8","13.8","129.0","+36.0"
"94","9","","Levine Toilolo","SF","4","57","106","84.0","12.2","77.0","-17.0"
"95","9","","Kaden Smith","SF","4","44","153","99.4","22.6","109.0","+14.0"
"96","9","","Scott Simonson","NYG","11","77","104","92.7","9.0","175.0","+79.0"
"97","9","","Eric Saubert","NE","10","43","90","79.0","7.4","120.0","+23.0"
"98","9","","Ross Dwelley","SF","4","66","110","87.5","16.1","137.0","+39.0"
"99","9","","Deon Yelder","KC","12","64","161","92.7","31.9","81.0","-18.0"
"100","9","","Eric Tomlinson","NYJ","4","59","160","98.6","31.0","94.0","-6.0"
"101","9","","Chris Manhertz","CAR","7","79","129","102.8","12.2","123.0","+22.0"
"102","9","","Logan Thomas","DET","5","73","109","89.5","12.0","172.0","+70.0"
"103","9","","Clive Walford","FA","","75","168","96.0","32.4","165.0","+62.0"
"104","9","","Durham Smythe","MIA","5","78","169","98.3","31.7","143.0","+39.0"
"105","9","","Rico Gathers","CLE","7","74","117","93.3","15.4","100.0","-5.0"
"106","9","","Lee Smith","BUF","6","52","101","86.2","13.0","132.0","+26.0"
"107","9","","Robert Tonyan","GB","11","59","100","94.7","6.0","93.0","-14.0"
"108","9","","Neal Sterling","FA","","72","180","103.2","34.7","103.0","-5.0"
"109","9","","David Morgan","MIN","12","82","143","104.0","17.1","107.0","-2.0"
"110","9","","Sean Culkin","LAC","12","86","123","103.6","11.7","145.0","+35.0"
"111","9","","Ben Braunecker","CHI","6","89","111","102.3","5.8","153.0","+42.0"
"112","9","","Daniel Brown","NYJ","4","41","164","88.0","54.2","68.0","-44.0"
"113","9","","Isaac Nauta","DET","5","60","128","92.0","24.4","87.0","-26.0"
"114","9","","Richard Rodgers","PHI","10","90","155","112.1","19.0","97.0","-17.0"
"115","9","","Alize Mack","NO","9","49","127","100.2","22.1","80.0","-35.0"
"116","9","","MyCole Pruitt","TEN","11","84","107","100.4","4.0","154.0","+38.0"
"117","9","","Joshua Perkins","PHI","10","79","116","100.6","13.7","85.0","-32.0"
"118","9","","Ross Travis","IND","6","41","137","104.4","33.4","149.0","+31.0"
"119","9","","Michael Roberts","FA","","72","103","87.0","12.7","148.0","+29.0"
"120","9","","Ryan Izzo","MIN","12","82","159","105.5","31.3","62.0","-58.0"
"121","9","","Caleb Wilson","ARI","12","69","178","111.0","41.3","127.0","+6.0"
"122","9","","Ben Koyack","JAC","10","80","181","113.3","40.0","176.0","+54.0"
"123","10","","C.J. Conrad","NYG","11","45","126","96.3","36.4","111.0","-12.0"
"124","10","","Tommy Sweeney","BUF","6","64","141","100.7","31.5","83.0","-41.0"
"125","10","","Johnny Mundt","LAR","9","88","144","115.0","18.6","135.0","+10.0"
