"Rank","Tier","WSID","Wide Receivers","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","DeAndre Hopkins","HOU","10","1","6","1.7","0.9","1.0","0.0"
"2","1","","Davante Adams","GB","11","1","6","2.3","1.3","2.0","0.0"
"3","1","","Julio Jones","ATL","9","1","8","3.6","1.3","3.0","0.0"
"4","2","","Odell Beckham Jr.","CLE","7","1","8","4.5","1.7","5.0","+1.0"
"5","2","","Michael Thomas","NO","9","1","9","4.8","1.5","4.0","-1.0"
"6","2","","JuJu Smith-Schuster","PIT","7","1","13","5.5","1.8","6.0","0.0"
"7","2","","Tyreek Hill","KC","12","1","11","6.2","1.7","7.0","0.0"
"8","2","","Mike Evans","TB","7","5","14","7.9","1.2","9.0","+1.0"
"9","3","","Keenan Allen","LAC","12","7","17","10.0","1.6","11.0","+2.0"
"10","3","","Antonio Brown","OAK","6","5","21","10.5","2.5","8.0","-2.0"
"11","3","","Adam Thielen","MIN","12","8","26","12.1","2.3","10.0","-1.0"
"12","3","","Stefon Diggs","MIN","12","8","18","12.9","2.0","12.0","0.0"
"13","3","","Amari Cooper","DAL","8","9","23","13.3","2.8","13.0","0.0"
"14","3","","Brandin Cooks","LAR","9","9","25","14.7","2.6","16.0","+2.0"
"15","3","","Robert Woods","LAR","9","10","26","16.1","3.1","17.0","+2.0"
"16","3","","Julian Edelman","NE","10","9","32","16.3","3.5","15.0","-1.0"
"17","4","","Chris Godwin","TB","7","9","32","17.2","3.3","20.0","+3.0"
"18","4","","Kenny Golladay","DET","5","13","42","19.3","3.4","18.0","0.0"
"19","4","","Tyler Lockett","SEA","11","11","34","20.1","4.3","19.0","0.0"
"20","4","","T.Y. Hilton","IND","6","17","34","21.4","3.5","14.0","-6.0"
"21","4","","Cooper Kupp","LAR","9","11","34","21.9","4.0","21.0","0.0"
"22","4","","Tyler Boyd","CIN","9","14","48","23.3","3.9","22.0","0.0"
"23","4","","Calvin Ridley","ATL","9","14","42","25.3","3.9","23.0","0.0"
"24","4","","D.J. Moore","CAR","7","15","54","25.5","4.4","25.0","+1.0"
"25","4","","Alshon Jeffery","PHI","10","15","36","25.5","3.7","29.0","+4.0"
"26","4","","Allen Robinson","CHI","6","15","48","25.7","4.9","28.0","+2.0"
"27","4","","Mike Williams","LAC","12","14","37","25.9","4.3","26.0","-1.0"
"28","5","","Robby Anderson","NYJ","4","16","50","29.3","5.2","30.0","+2.0"
"29","5","","Jarvis Landry","CLE","7","12","51","30.2","4.5","27.0","-2.0"
"30","5","","A.J. Green","CIN","9","13","47","30.7","7.5","24.0","-6.0"
"31","5","","Josh Gordon","NE","10","20","65","31.9","8.1","32.0","+1.0"
"32","5","","Sammy Watkins","KC","12","20","59","34.5","5.6","34.0","+2.0"
"33","5","","Christian Kirk","ARI","12","22","56","34.6","4.9","33.0","0.0"
"34","5","","Will Fuller","HOU","10","23","65","35.0","5.7","31.0","-3.0"
"35","5","","Curtis Samuel","CAR","7","23","66","35.0","5.5","42.0","+7.0"
"36","5","","Corey Davis","TEN","11","19","54","35.4","6.0","35.0","-1.0"
"37","5","","Dede Westbrook","JAC","10","13","60","36.1","7.1","37.0","0.0"
"38","5","","Marvin Jones","DET","5","27","63","36.9","4.8","41.0","+3.0"
"39","6","","Sterling Shepard","NYG","11","26","57","38.1","4.8","36.0","-3.0"
"40","6","","Dante Pettis","SF","4","20","61","39.8","7.0","43.0","+3.0"
"41","6","","Larry Fitzgerald","ARI","12","25","57","40.7","5.4","38.0","-3.0"
