"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Travis Kelce",KC,"12"," 6.2","0","+2.1","62% (10/16)"
"2",1,"Darren Waller",LV,"8"," 5.0","0","+0.8","37% (6/16)"
"3",1,"George Kittle",SF,"6"," 6.0","0","0.0","37% (3/8)"
"4",2,"Mark Andrews",BAL,"8"," 1.6","+1","-2.1","33% (5/15)"
"5",2,"Kyle Pitts",ATL,"6"," 4.6","-1","-","-"
"6",2,"T.J. Hockenson",DET,"9"," 3.6","0","-0.9","56% (9/16)"
"7",2,"Noah Fant",DEN,"11"," 8.2","+2","-0.4","40% (6/15)"
"8",2,"Robert Tonyan",GB,"13"," 5.2","0","+1.8","50% (8/16)"
"9",3,"Logan Thomas",WAS,"9"," 3.2","-2","+2.0","50% (8/16)"
"10",3,"Tyler Higbee",LAR,"11"," 4.2","+3","+0.3","40% (6/15)"
"11",3,"Dallas Goedert",PHI,"14"," 5.0","-1","-0.4","36% (4/11)"
"12",3,"Mike Gesicki",MIA,"14"," 5.8","0","+0.9","33% (5/15)"
"13",3,"Jonnu Smith",NE,"14"," 9.8","+1","-0.4","53% (8/15)"
"14",3,"Rob Gronkowski",TB,"9"," 5.6","-3","+0.2","43% (7/16)"
"15",4,"Evan Engram",NYG,"10"," 5.6","+3","-1.3","37% (6/16)"
"16",4,"Gerald Everett",SEA,"9"," 2.2","+4","+0.7","50% (8/16)"
"17",4,"Hunter Henry",NE,"14"," 8.6","0","-1.5","42% (6/14)"
"18",4,"Jared Cook",LAC,"7"," 3.8","-2","-0.7","53% (8/15)"
"19",4,"Blake Jarwin",DAL,"7"," 2.8","+7","-8.3","0% (0/1)"
"20",4,"Cole Kmet",CHI,"10"," 2.4","+12","-0.1","31% (5/16)"
"21",4,"Austin Hooper",CLE,"13"," 6.0","+4","-0.1","53% (7/13)"
"22",4,"Zach Ertz",PHI,"14"," 4.6","-7","-3.6","9% (1/11)"
